"id","form_name","form_definition"
1,"Sample Form","{""fields"": [{""id"": 1, ""name"": ""firstName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""First Name""}, {""id"": 2, ""name"": ""age"", ""type"": ""number"", ""placeholder"": ""Age""}, {""id"": 3, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 4, ""name"": ""bio"", ""type"": ""textarea"", ""placeholder"": ""Short Bio""}]}"
2,"Extended Contact Form","{""fields"": [{""id"": 1, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Your Email""}, {""id"": 2, ""name"": ""message"", ""type"": ""textarea"", ""placeholder"": ""Your Message""}, {""id"": 3, ""name"": ""contactMethod"", ""type"": ""select"", ""options"": [""Email"", ""Phone"", ""Text""], ""placeholder"": ""Preferred Contact Method""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Your Phone Number""}, {""id"": 5, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}]}"
3,"Comprehensive Survey Form","{""fields"": [{""id"": 1, ""name"": ""satisfaction"", ""type"": ""select"", ""options"": [""Very Satisfied"", ""Satisfied"", ""Neutral"", ""Unsatisfied"", ""Very Unsatisfied""], ""required"": true, ""placeholder"": ""Satisfaction Level""}, {""id"": 2, ""name"": ""comments"", ""type"": ""textarea"", ""placeholder"": ""Additional Comments""}, {""id"": 3, ""name"": ""recommend"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Would you recommend us?""}, {""id"": 4, ""name"": ""improvements"", ""type"": ""textarea"", ""placeholder"": ""Suggestions for Improvement""}, {""id"": 5, ""name"": ""ageGroup"", ""type"": ""select"", ""options"": [""18-25"", ""26-35"", ""36-45"", ""46-60"", ""60+""], ""placeholder"": ""Age Group""}]}"
4,"Detailed Registration Form","{""fields"": [{""id"": 1, ""name"": ""username"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Username""}, {""id"": 2, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Password""}, {""id"": 3, ""name"": ""confirmPassword"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Confirm Password""}, {""id"": 4, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 5, ""name"": ""fullName"", ""type"": ""text"", ""placeholder"": ""Full Name""}, {""id"": 6, ""name"": ""birthDate"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 7, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 8, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 9, ""name"": ""terms"", ""type"": ""checkbox"", ""required"": true, ""placeholder"": ""I agree to the terms and conditions""}]}"
5,"Advanced Feedback Form","{""fields"": [{""id"": 1, ""name"": ""name"", ""type"": ""text"", ""placeholder"": ""Your Name""}, {""id"": 2, ""name"": ""feedback"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Your Feedback""}, {""id"": 3, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""placeholder"": ""Rating""}, {""id"": 4, ""name"": ""category"", ""type"": ""select"", ""options"": [""Product"", ""Service"", ""Website""], ""placeholder"": ""Feedback Category""}, {""id"": 5, ""name"": ""improve"", ""type"": ""textarea"", ""placeholder"": ""How can we improve?""}, {""id"": 6, ""name"": ""contact"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Would you like us to contact you?""}, {""id"": 7, ""name"": ""contactDetails"", ""type"": ""text"", ""placeholder"": ""Contact Details (if yes)""}]}"
6,"Comprehensive Job Application Form","{""fields"": [{""id"": 1, ""name"": ""firstName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""First Name""}, {""id"": 2, ""name"": ""lastName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Last Name""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""resume"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Paste Your Resume Here""}, {""id"": 6, ""name"": ""coverLetter"", ""type"": ""textarea"", ""placeholder"": ""Paste Your Cover Letter Here""}, {""id"": 7, ""name"": ""portfolio"", ""type"": ""text"", ""placeholder"": ""Portfolio URL""}, {""id"": 8, ""name"": ""linkedin"", ""type"": ""text"", ""placeholder"": ""LinkedIn Profile""}, {""id"": 9, ""name"": ""availability"", ""type"": ""select"", ""options"": [""Immediately"", ""Within 2 weeks"", ""Within a month"", ""More than a month""], ""placeholder"": ""Availability to Start""}, {""id"": 10, ""name"": ""expectedSalary"", ""type"": ""text"", ""placeholder"": ""Expected Salary""}]}"
7,"Complex Event Registration Form","{""fields"": [{""id"": 1, ""name"": ""name"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""event"", ""type"": ""select"", ""options"": [""Event A"", ""Event B"", ""Event C""], ""placeholder"": ""Select Event""}, {""id"": 4, ""name"": ""attendance"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Will you attend?""}, {""id"": 5, ""name"": ""guests"", ""type"": ""number"", ""placeholder"": ""Number of Guests""}, {""id"": 6, ""name"": ""mealPreference"", ""type"": ""select"", ""options"": [""Vegetarian"", ""Non-Vegetarian"", ""Vegan"", ""Gluten-Free""], ""placeholder"": ""Meal Preference""}, {""id"": 7, ""name"": ""accommodation"", ""type"": ""checkbox"", ""placeholder"": ""Do you need accommodation?""}, {""id"": 8, ""name"": ""specialRequests"", ""type"": ""textarea"", ""placeholder"": ""Any Special Requests""}]}"
8,"Detailed Medical History Form","{""fields"": [{""id"": 1, ""name"": ""patientName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Patient Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""medicalConditions"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Medical Conditions""}, {""id"": 4, ""name"": ""medications"", ""type"": ""textarea"", ""placeholder"": ""Current Medications""}, {""id"": 5, ""name"": ""allergies"", ""type"": ""textarea"", ""placeholder"": ""Allergies""}, {""id"": 6, ""name"": ""emergencyContact"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Emergency Contact Name""}, {""id"": 7, ""name"": ""emergencyPhone"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Emergency Contact Phone""}, {""id"": 8, ""name"": ""insuranceProvider"", ""type"": ""text"", ""placeholder"": ""Insurance Provider""}, {""id"": 9, ""name"": ""policyNumber"", ""type"": ""text"", ""placeholder"": ""Insurance Policy Number""}]}"
9,"Comprehensive Order Form","{""fields"": [{""id"": 1, ""name"": ""productName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Product Name""}, {""id"": 2, ""name"": ""quantity"", ""type"": ""number"", ""required"": true, ""placeholder"": ""Quantity""}, {""id"": 3, ""name"": ""shippingAddress"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Shipping Address""}, {""id"": 4, ""name"": ""billingAddress"", ""type"": ""textarea"", ""placeholder"": ""Billing Address""}, {""id"": 5, ""name"": ""paymentMethod"", ""type"": ""select"", ""options"": [""Credit Card"", ""PayPal"", ""Bank Transfer""], ""required"": true, ""placeholder"": ""Payment Method""}, {""id"": 6, ""name"": ""cardNumber"", ""type"": ""text"", ""placeholder"": ""Credit Card Number""}, {""id"": 7, ""name"": ""expiryDate"", ""type"": ""text"", ""placeholder"": ""Expiry Date""}, {""id"": 8, ""name"": ""cvv"", ""type"": ""text"", ""placeholder"": ""CVV""}, {""id"": 9, ""name"": ""promoCode"", ""type"": ""text"", ""placeholder"": ""Promo Code (if any)""}, {""id"": 10, ""name"": ""notes"", ""type"": ""textarea"", ""placeholder"": ""Additional Notes""}]}"
10,"Detailed Bug Report Form","{""fields"": [{""id"": 1, ""name"": ""title"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Bug Title""}, {""id"": 2, ""name"": ""description"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Bug Description""}, {""id"": 3, ""name"": ""priority"", ""type"": ""select"", ""options"": [""Low"", ""Medium"", ""High""], ""required"": true, ""placeholder"": ""Priority""}, {""id"": 4, ""name"": ""steps"", ""type"": ""textarea"", ""placeholder"": ""Steps to Reproduce""}, {""id"": 5, ""name"": ""expectedResult"", ""type"": ""textarea"", ""placeholder"": ""Expected Result""}, {""id"": 6, ""name"": ""actualResult"", ""type"": ""textarea"", ""placeholder"": ""Actual Result""}, {""id"": 7, ""name"": ""screenshots"", ""type"": ""text"", ""placeholder"": ""Screenshots URL""}, {""id"": 8, ""name"": ""operatingSystem"", ""type"": ""select"", ""options"": [""Windows"", ""MacOS"", ""Linux""], ""placeholder"": ""Operating System""}, {""id"": 9, ""name"": ""browser"", ""type"": ""select"", ""options"": [""Chrome"", ""Firefox"", ""Safari"", ""Edge""], ""placeholder"": ""Browser""}, {""id"": 10, ""name"": ""additionalInfo"", ""type"": ""textarea"", ""placeholder"": ""Additional Information""}]}"
